SHC,HASTC,Sai Gon Maritime Joint Stock Company
SHI,HOSE,Son Ha International Corporation
SHN,HASTC,Hanoi Investment General Corporation
SHS,HASTC,Sai Gon - Ha Noi Securities Joint Stock Company
SIC,HASTC,Song Da Investment - Development Joint-Stock Company
SJ1,HASTC,Seafood Joint Stock Company No 1
SJC,HASTC,Song Da 1.01 Joint Stock Company
SJD,HOSE,Can Don Hydro Power Joint Stocks Company
SJE,HASTC,Song Da No 11 Joint Stock Company
SJM,HASTC,Song Da 19 Joint Stock Company
SJS,HOSE,Song Da Urban & Industrial Zone Investment and Development Joint Stock Company
SKS,HASTC,Song Da Transportation Construction Joint Stock Company
SMA,HOSE,Saigon Machinery Spare Parts Joint Stock Company
SMC,HOSE,SMC Trading- Investment Joint Stock Company
SME,HASTC,SME Securities Corporation
SMT,HASTC,Sam Cuong Material Electric and Telecom Corporation
SNG,HASTC,Song Da No 10.1 Joint Stock Company
SPM,HOSE,S.P.M Corporation
SPP,HASTC,SaiGon Plastic Packaging Joint Stock Company
SQC,HASTC,Sai Gon – Quy Nhon Mining Corporation
SRA,HASTC,SARA Viet Nam Joint Stock Company
